100 10000
B 86 88
B 91 31
B 47 88
B 25 72
B 1 96
A 9 24
A 52 2
A 78 37
A 16 91
A 6 42
B 71 5
B 67 56
A 53 100
A 82 68
B 71 18
B 38 60
A 30 37
A 70 5
B 75 86
B 95 5
A 2 26
B 96 30
B 41 6
B 97 34
B 43 31
A 75 60
B 84 37
B 81 19
A 17 82
A 13 67
A 67 49
B 32 13
A 78 60
A 94 59
B 82 60
B 67 40
A 91 19
B 3 66
B 6 64
A 77 13
B 89 93
B 71 8
A 66 10
A 51 88
A 51 81
B 45 58
A 35 18
B 76 3
A 94 15
B 44 91
B 73 25
A 50 89
B 93 24
A 93 16
A 45 40
B 72 15
A 11 18
A 41 81
A 34 79
B 77 44
A 29 72
B 99 69
A 56 99
A 63 71
A 9 53
B 45 53
A 39 76
A 78 15
A 34 63
B 13 29
A 32 37
B 25 29
A 72 46
B 94 18
B 84 36
B 55 24
A 85 30
B 70 17
B 2 92
A 93 73
B 94 72
B 42 24
A 45 29
A 56 30
B 45 13
B 61 83
B 29 4
B 83 58
B 75 45
A 4 44
B 26 64
A 97 94
B 53 66
B 73 91
A 44 10
B 83 48
A 1 82
A 90 9
B 35 61
A 44 77
A 34 85
B 15 55
A 89 44
A 89 51
B 96 29
A 72 21
B 65 4
A 74 73
B 85 32
A 79 4
B 6 45
B 55 84
A 98 39
B 54 79
A 41 83
B 6 23
A 24 18
B 85 47
B 25 76
A 58 82
A 24 46
A 31 75
A 53 85
A 74 70
A 65 55
A 70 80
B 29 61
B 26 27
B 13 15
B 45 57
B 42 5
A 65 66
A 72 91
B 12 64
B 28 64
A 52 19
B 86 65
B 2 73
A 76 17
B 15 11
B 58 31
A 85 18
B 82 87
B 26 70
B 37 64
A 22 40
B 55 12
B 63 85
B 85 81
A 58 76
B 61 93
A 19 85
B 64 81
B 38 22
B 4 74
B 25 26
A 39 10
B 92 14
A 85 34
B 29 76
B 65 75
A 38 27
A 84 87
A 99 30
A 51 72
A 36 35
B 25 68
A 99 29
B 77 90
A 48 90
B 38 17
A 49 12
B 70 93
B 42 36
B 31 77
A 68 15
A 32 11
B 67 13
A 92 64
A 38 45
B 10 17
B 52 9
B 39 3
A 48 44
A 25 35
B 41 96
A 56 7
A 92 72
A 28 59
A 14 92
B 14 7
A 68 30
A 7 13
A 18 11
B 23 81
B 32 29
B 21 36
A 58 31
A 10 99
A 89 64
B 78 48
A 56 51
B 81 44
B 54 70
A 32 40
A 45 50
A 43 18
A 66 14
B 10 64
A 98 27
B 50 84
A 87 27
B 65 84
B 65 46
B 72 77
B 84 18
A 55 27
B 7 52
A 13 5
A 4 57
A 21 16
B 8 82
B 98 85
B 53 2
A 99 34
A 60 49
B 70 62
A 96 22
B 35 79
A 87 4
B 74 8
A 65 12
B 4 67
A 14 70
B 11 75
A 17 64
A 39 53
B 39 58
B 23 11
A 15 50
A 65 8
A 28 29
B 83 85
B 78 14
A 23 43
A 72 39
B 72 52
B 78 27
A 95 8
B 45 39
